season,round,raceName,circuitId,lat,long,country,date,url
2014,3,Bahrain Grand Prix,bahrain,26.0325,50.5106,Bahrain,06/04/2014,http://en.wikipedia.org/wiki/2014_Bahrain_Grand_Prix
2014,4,Chinese Grand Prix,shanghai,31.3389,121.22,China,20/04/2014,http://en.wikipedia.org/wiki/2014_Chinese_Grand_Prix
2014,5,Spanish Grand Prix,catalunya,41.57,2.26111,Spain,11/05/2014,http://en.wikipedia.org/wiki/2014_Spanish_Grand_Prix
2014,6,Monaco Grand Prix,monaco,43.7347,7.42056,Monaco,25/05/2014,http://en.wikipedia.org/wiki/2014_Monaco_Grand_Prix
2014,7,Canadian Grand Prix,villeneuve,45.5,-73.5228,Canada,08/06/2014,http://en.wikipedia.org/wiki/2014_Canadian_Grand_Prix
2014,8,Austrian Grand Prix,red_bull_ring,47.2197,14.7647,Austria,22/06/2014,http://en.wikipedia.org/wiki/2014_Austrian_Grand_Prix
2014,9,British Grand Prix,silverstone,52.0786,-1.01694,UK,06/07/2014,http://en.wikipedia.org/wiki/2014_British_Grand_Prix
2014,10,German Grand Prix,hockenheimring,49.3278,8.56583,Germany,20/07/2014,http://en.wikipedia.org/wiki/2014_German_Grand_Prix
2014,11,Hungarian Grand Prix,hungaroring,47.5789,19.2486,Hungary,27/07/2014,http://en.wikipedia.org/wiki/2014_Hungarian_Grand_Prix
2014,12,Belgian Grand Prix,spa,50.4372,5.97139,Belgium,24/08/2014,http://en.wikipedia.org/wiki/2014_Belgian_Grand_Prix
2014,13,Italian Grand Prix,monza,45.6156,9.28111,Italy,07/09/2014,http://en.wikipedia.org/wiki/2014_Italian_Grand_Prix
2014,14,Singapore Grand Prix,marina_bay,1.2914,103.864,Singapore,21/09/2014,http://en.wikipedia.org/wiki/2014_Singapore_Grand_Prix
2014,15,Japanese Grand Prix,suzuka,34.8431,136.541,Japan,05/10/2014,http://en.wikipedia.org/wiki/2014_Japanese_Grand_Prix
2014,16,Russian Grand Prix,sochi,43.4057,39.9578,Russia,12/10/2014,http://en.wikipedia.org/wiki/2014_Russian_Grand_Prix
2014,17,United States Grand Prix,americas,30.1328,-97.6411,USA,02/11/2014,http://en.wikipedia.org/wiki/2014_United_States_Grand_Prix
2014,18,Brazilian Grand Prix,interlagos,-23.7036,-46.6997,Brazil,09/11/2014,http://en.wikipedia.org/wiki/2014_Brazilian_Grand_Prix
2014,19,Abu Dhabi Grand Prix,yas_marina,24.4672,54.6031,UAE,23/11/2014,http://en.wikipedia.org/wiki/2014_Abu_Dhabi_Grand_Prix
2015,1,Australian Grand Prix,albert_park,-37.8497,144.968,Australia,15/03/2015,http://en.wikipedia.org/wiki/2015_Australian_Grand_Prix
2015,2,Malaysian Grand Prix,sepang,2.76083,101.738,Malaysia,29/03/2015,http://en.wikipedia.org/wiki/2015_Malaysian_Grand_Prix
2015,3,Chinese Grand Prix,shanghai,31.3389,121.22,China,12/04/2015,http://en.wikipedia.org/wiki/2015_Chinese_Grand_Prix
2015,4,Bahrain Grand Prix,bahrain,26.0325,50.5106,Bahrain,19/04/2015,http://en.wikipedia.org/wiki/2015_Bahrain_Grand_Prix
2015,5,Spanish Grand Prix,catalunya,41.57,2.26111,Spain,10/05/2015,http://en.wikipedia.org/wiki/2015_Spanish_Grand_Prix
2015,6,Monaco Grand Prix,monaco,43.7347,7.42056,Monaco,24/05/2015,http://en.wikipedia.org/wiki/2015_Monaco_Grand_Prix
2015,7,Canadian Grand Prix,villeneuve,45.5,-73.5228,Canada,07/06/2015,http://en.wikipedia.org/wiki/2015_Canadian_Grand_Prix
2015,8,Austrian Grand Prix,red_bull_ring,47.2197,14.7647,Austria,21/06/2015,http://en.wikipedia.org/wiki/2015_Austrian_Grand_Prix
2015,9,British Grand Prix,silverstone,52.0786,-1.01694,UK,05/07/2015,http://en.wikipedia.org/wiki/2015_British_Grand_Prix
2015,10,Hungarian Grand Prix,hungaroring,47.5789,19.2486,Hungary,26/07/2015,http://en.wikipedia.org/wiki/2015_Hungarian_Grand_Prix
2015,11,Belgian Grand Prix,spa,50.4372,5.97139,Belgium,23/08/2015,http://en.wikipedia.org/wiki/2015_Belgian_Grand_Prix
2015,12,Italian Grand Prix,monza,45.6156,9.28111,Italy,06/09/2015,http://en.wikipedia.org/wiki/2015_Italian_Grand_Prix
2015,13,Singapore Grand Prix,marina_bay,1.2914,103.864,Singapore,20/09/2015,http://en.wikipedia.org/wiki/2015_Singapore_Grand_Prix
2015,14,Japanese Grand Prix,suzuka,34.8431,136.541,Japan,27/09/2015,http://en.wikipedia.org/wiki/2015_Japanese_Grand_Prix
2015,15,Russian Grand Prix,sochi,43.4057,39.9578,Russia,11/10/2015,http://en.wikipedia.org/wiki/2015_Russian_Grand_Prix
2015,16,United States Grand Prix,americas,30.1328,-97.6411,USA,25/10/2015,http://en.wikipedia.org/wiki/2015_United_States_Grand_Prix
2015,17,Mexican Grand Prix,rodriguez,19.4042,-99.0907,Mexico,01/11/2015,http://en.wikipedia.org/wiki/2015_Mexican_Grand_Prix
2015,18,Brazilian Grand Prix,interlagos,-23.7036,-46.6997,Brazil,15/11/2015,http://en.wikipedia.org/wiki/2015_Brazilian_Grand_Prix
2015,19,Abu Dhabi Grand Prix,yas_marina,24.4672,54.6031,UAE,29/11/2015,http://en.wikipedia.org/wiki/2015_Abu_Dhabi_Grand_Prix
2016,1,Australian Grand Prix,albert_park,-37.8497,144.968,Australia,20/03/2016,http://en.wikipedia.org/wiki/2016_Australian_Grand_Prix
